country,region,city,address_name
Vietnam,Lạng Sơn,Lạng Sơn,246-792 Fusce Street
Singapore,North Region,Simpang,"P.O. Box 678, 8609 Nulla. Rd."
Philippines,Zamboanga Peninsula,Zamboanga City,407-7188 Tincidunt Avenue
Sweden,Jönköpings län,Vetlanda,Ap #940-1297 Sed Avenue
Colombia,Putumayo,Valle del Guamuez,763-8700 Risus. Road
New Zealand,South Island,Invercargill,939-8344 Sagittis. Rd.
South Africa,Free State,Parys,Ap #139-4899 Lorem Rd.
Italy,Trentino-Alto Adige,Andalo,"619-2812 Ut, Avenue"
Russian Federation,Nizhny Novgorod Oblast,Nizhny,Ap #618-7322 Aenean St.
Turkey,Van,Çaldıran,119-9253 Donec Street
Peru,Piura,Sechura,"979-6734 Pede, Street"
Italy,Piemonte,Serralunga d'Alba,Ap #252-3213 Varius Av.
Vietnam,Tây Ninh,Tây Ninh,218-2824 Dignissim Rd.
Poland,Zachodniopomorskie,Koszalin,Ap #246-6766 Libero St.
Philippines,Bangsamoro,Marawi,"P.O. Box 561, 6626 Phasellus Road"
Belgium,Oost-Vlaanderen,Oostakker,6736 Aliquet Avenue
Mexico,Guanajuato,Celaya,"P.O. Box 617, 2690 Aliquam Ave"
Costa Rica,San José,San Felipe,7425 Curae St.
Germany,Bremen,Bremen,Ap #316-634 Donec Av.
United States,Arkansas,Fort Smith,157-1692 Sit Av.
Nigeria,Imo,Okigwe,492-7933 Congue. Avenue
France,Provence-Alpes-Côte d'Azur,Toulon,"263-7283 Vel, Rd."
South Africa,Mpumalanga,Secunda,197-2434 Duis Ave
Spain,Madrid,Torrejón de Ardoz,962-1075 Curabitur Avenue
Poland,Małopolskie,Kraków,269-6191 Auctor Road
Ukraine,Chernivtsi oblast,Vashkivtsi,"P.O. Box 194, 8139 Feugiat Street"
Italy,Valle d'Aosta,Oyace,5627 Faucibus St.
Brazil,Paraná,Maringá,"130-8097 Scelerisque, Avenue"
South Africa,Limpopo,Sibasa,6098 Nunc Road
United States,Georgia,Savannah,8834 Pharetra Avenue
Chile,Atacama,Copiapó,2375 Urna. Avenue
Peru,Cusco,Sicuani,"P.O. Box 135, 7556 Tincidunt. St."
France,Champagne-Ardenne,Reims,150-8944 Iaculis Rd.
Costa Rica,Guanacaste,Cañas,9118 Arcu. Road
Chile,Coquimbo,Punitaqui,"P.O. Box 839, 5593 Lorem Rd."
Austria,Styria,Köflach,400-9906 Sapien. Ave
Germany,Rheinland-Pfalz,Haßloch,288-9460 Imperdiet Rd.
Spain,Navarra,Pamplona,Ap #807-1295 Neque Rd.
Vietnam,Hồ Chí Minh City,Hồ Chí Minh City,Ap #941-5889 Donec Street
Norway,Nordland,Narvik,"965-5188 Iaculis, Avenue"
Colombia,La Guajira,Riohacha,Ap #930-4283 A Ave
Russian Federation,Ryazan Oblast,Ryazan,Ap #865-8505 Aliquet Rd.
China,Huáběi,Beijing,293-8467 In Road
Germany,Schleswig-Holstein,Rendsburg,860-6506 In Rd.
Turkey,Diyarbakır,Ergani,Ap #909-9736 Condimentum. Ave
Ukraine,Lviv oblast,Chervonohrad,Ap #236-3628 Malesuada Avenue
Germany,Saarland,Merzig,815-2801 Fringilla Rd.
Germany,Mecklenburg-Vorpommern,Schwerin,Ap #432-1755 Diam. St.
Germany,Hamburg,Hamburg,463-6735 Pede Av.
Vietnam,Nam Định,Cổ Lễ,"P.O. Box 349, 4627 Lacinia Road"
Canada,Quebec,Pointe-Claire,"P.O. Box 719, 4605 A St."
Pakistan,Gilgit Baltistan,Gilgit,456 Lectus St.
Singapore,North-East Region,North-Eastern Islands,8944 Nec Street
Mexico,Chiapas,San Cristóbal de las Casas,"P.O. Box 651, 9564 Ante. Road"
Canada,Saskatchewan,Assiniboia,Ap #353-3440 Morbi Rd.
Germany,Sachsen,Plauen,3929 Lorem Rd.
Nigeria,Rivers,Port Harcourt,Ap #272-9947 Enim Road
South Africa,Gauteng,Benoni,587-3415 Aenean Road
New Zealand,South Island,Temuka,361-1376 Placerat. Rd.
Brazil,Santa Catarina,Blumenau,464-2131 Pede. St.
Italy,Lombardia,Val Rezzo,504-8924 Amet St.
United Kingdom,Roxburghshire,Roxburgh,244-6476 Faucibus Street
Mexico,Hidalgo,Pachuca,"P.O. Box 994, 5830 Pede. Avenue"
Philippines,Davao Region,Digos,Ap #176-8030 Dictum Ave
France,Lorraine,Épinal,154-4535 Nibh Avenue
Indonesia,West Nusa Tenggara,Mataram,543-7487 Ullamcorper. St.
Ukraine,Donetsk oblast,Kramatorsk,"P.O. Box 568, 6405 Rutrum, Av."
United Kingdom,Nottinghamshire,Nottingham,951-4916 Vitae Av.
Turkey,Adana,Adana,Ap #464-1335 Justo Rd.
Colombia,Cundinamarca,Zipaquirá,"P.O. Box 336, 7382 Posuere, Street"
Ireland,Munster,Cork,"Ap #633-1461 Lorem, Ave"
Indonesia,North Kalimantan,Tarakan,1434 Pede. St.
Netherlands,Noord Brabant,Ravenstein,6200 Sapien. St.
Canada,Ontario,Cobourg,Ap #788-4730 Quis Street
France,Franche-Comté,Pontarlier,Ap #987-6184 Pellentesque St.
United Kingdom,Banffshire,Dufftown,614-8399 Cursus. Road
Philippines,Cagayan Valley,Cauayan,Ap #299-4308 In Rd.
Mexico,Sonora,Guaymas,493-5051 Erat St.
Austria,Upper Austria,Bad Ischl,302-1197 Risus. St.
China,Xīnán,Yunnan,Ap #859-5786 Turpis Road
Pakistan,Balochistan,Lehri,233-1903 Dignissim Avenue
United Kingdom,Inverness-shire,Newtonmore,6568 Lacinia Avenue
Australia,Australian Capital Territory,Canberra,"7895 Non, Ave"
